day;timestamp;product;bid_price_1;bid_volume_1;bid_price_2;bid_volume_2;bid_price_3;bid_volume_3;ask_price_1;ask_volume_1;ask_price_2;ask_volume_2;ask_price_3;ask_volume_3;mid_price;profit_and_loss
1;2100;KELP;2032;2;2031;26;;;2034;5;2035;28;;;2033.0;0.0
1;2200;RAINFOREST_RESIN;9996;1;9995;20;;;9998;4;10004;1;10005;20;9997.0;8.0
1;2200;KELP;2032;25;;;;;2035;21;;;;;2033.5;0.0
1;2200;SQUID_INK;1846;25;;;;;1849;21;;;;;1847.5;0.0
1;2300;KELP;2032;7;2031;22;;;2035;24;;;;;2033.5;0.0
1;2300;SQUID_INK;1848;7;1847;22;;;1851;24;;;;;1849.5;0.0
1;2300;RAINFOREST_RESIN;9996;2;9995;22;;;10004;2;10005;22;;;10000.0;10.0
1;2400;KELP;2031;22;;;;;2035;22;;;;;2033.0;0.0
1;2400;SQUID_INK;1846;22;;;;;1849;22;;;;;1847.5;0.0
1;2400;RAINFOREST_RESIN;9996;2;9995;20;;;10004;2;10005;20;;;10000.0;10.0
1;2500;SQUID_INK;1847;2;1846;21;;;1850;23;;;;;1848.5;0.0
1;2500;RAINFOREST_RESIN;9998;3;9996;2;9995;21;10004;2;10005;21;;;10001.0;10.0
1;2500;KELP;2032;2;2031;21;;;2035;23;;;;;2033.5;0.0
1;2600;RAINFOREST_RESIN;10002;1;9996;1;9995;29;10004;1;10005;29;;;10003.0;10.0
1;2600;KELP;2032;1;2031;29;;;2035;30;;;;;2033.5;0.0
1;2600;SQUID_INK;1849;30;;;;;1852;30;;;;;1850.5;0.0
1;2700;KELP;2032;9;2031;21;;;2035;23;;;;;2033.5;0.0
1;2700;SQUID_INK;1848;30;;;;;1851;23;;;;;1849.5;0.0
1;2700;RAINFOREST_RESIN;9998;7;9996;2;9995;21;10004;2;10005;21;;;10001.0;12.0
1;2800;KELP;2031;27;;;;;2035;27;;;;;2033.0;0.0
1;2800;SQUID_INK;1849;27;;;;;1852;27;;;;;1850.5;0.0
1;2800;RAINFOREST_RESIN;9995;27;;;;;10005;27;;;;;10000.0;12.0
1;2900;SQUID_INK;1848;22;;;;;1851;22;;;;;1849.5;0.0
1;2900;RAINFOREST_RESIN;9996;2;9995;20;;;10004;2;10005;20;;;10000.0;12.0
1;2900;KELP;2031;22;;;;;2035;22;;;;;2033.0;0.0
1;3000;RAINFOREST_RESIN;9996;1;9995;29;;;10004;1;10005;29;;;10000.0;12.0
1;3000;KELP;2034;1;2032;6;2031;29;2035;30;;;;;2034.5;0.0
1;3000;SQUID_INK;1850;1;1848;35;;;1851;30;;;;;1850.5;0.0
1;3100;KELP;2032;28;;;;;2035;28;;;;;2033.5;0.0
1;3100;SQUID_INK;1848;28;;;;;1851;28;;;;;1849.5;0.0
1;3100;RAINFOREST_RESIN;9998;5;9996;1;9995;27;10004;1;10005;27;;;10001.0;12.0
1;3200;KELP;2032;24;;;;;2033;5;2035;24;;;2032.5;0.0
1;3200;SQUID_INK;1848;24;;;;;1849;5;1851;24;;;1848.5;0.0
1;3200;RAINFOREST_RESIN;10002;2;9995;24;;;10005;24;;;;;10003.5;12.0
1;3300;SQUID_INK;1849;25;;;;;1852;25;;;;;1850.5;0.0
1;3300;RAINFOREST_RESIN;10002;1;9996;1;9995;24;10004;1;10005;24;;;10003.0;14.0
1;3300;KELP;2032;25;;;;;2035;25;;;;;2033.5;0.0
1;3400;RAINFOREST_RESIN;9998;10;9996;2;9995;27;10004;2;10005;27;;;10001.0;16.0
1;3400;KELP;2032;29;;;;;2035;29;;;;;2033.5;0.0
1;3400;SQUID_INK;1849;2;1848;27;;;1852;29;;;;;1850.5;0.0
1;3500;KELP;2032;26;;;;;2035;26;;;;;2033.5;0.0
1;3500;SQUID_INK;1850;26;;;;;1853;26;;;;;1851.5;0.0
1;3500;RAINFOREST_RESIN;9995;26;;;;;10002;10;10005;26;;;9998.5;16.0
1;3600;KELP;2032;27;;;;;2035;27;;;;;2033.5;-4.24755859375
1;3600;SQUID_INK;1850;27;;;;;1853;27;;;;;1851.5;-4.17724609375
1;3600;RAINFOREST_RESIN;9995;27;;;;;10002;8;10005;27;;;9998.5;16.0
1;3700;SQUID_INK;1851;25;;;;;1854;25;;;;;1852.5;-6.65966796875
1;3700;RAINFOREST_RESIN;9998;3;9995;25;;;10005;25;;;;;10001.5;16.0
1;3700;KELP;2032;25;;;;;2035;25;;;;;2033.5;-4.03515625
1;3800;RAINFOREST_RESIN;9995;24;;;;;10005;24;;;;;10000.0;16.0
1;3800;KELP;2032;24;;;;;2034;7;2035;24;;;2033.0;-7.70703125
1;3800;SQUID_INK;1853;24;;;;;1854;7;1856;24;;;1853.5;-22.244140625
1;3900;KELP;2032;27;;;;;2035;26;;;;;2033.5;-9.013671875
1;3900;SQUID_INK;1852;27;;;;;1855;26;;;;;1853.5;-17.109375
1;3900;RAINFOREST_RESIN;9996;2;9995;24;;;10004;2;10005;24;;;10000.0;16.0
1;4000;KELP;2032;30;;;;;2035;31;;;;;2033.5;-12.169921875
1;4000;SQUID_INK;1854;30;;;;;1857;31;;;;;1855.5;-47.404296875
1;4000;RAINFOREST_RESIN;10002;1;9996;1;9995;30;10004;1;10005;30;;;10003.0;16.0
1;4100;RAINFOREST_RESIN;10000;5;9996;2;9995;22;10002;4;10004;2;10005;22;10001.0;18.0
1;4100;SQUID_INK;1855;5;1854;2;1853;22;1857;24;;;;;1856.0;-45.51953125
1;4100;KELP;2033;5;2032;24;;;2035;24;;;;;2034.0;-18.384765625
1;4200;RAINFOREST_RESIN;10002;5;9996;1;9995;28;10004;1;10005;28;;;10003.0;18.0
1;4200;KELP;2032;29;;;;;2034;7;2035;29;;;2033.0;-24.31640625
1;4200;SQUID_INK;1854;29;;;;;1856;7;1857;29;;;1855.0;-53.74609375
1;4300;KELP;2032;24;;;;;2035;26;;;;;2033.5;-23.7734375
1;4300;RAINFOREST_RESIN;9995;26;;;;;10002;8;10005;26;;;9998.5;20.0
1;4300;SQUID_INK;1854;24;;;;;1857;26;;;;;1855.5;-50.0703125
1;4400;KELP;2032;28;;;;;2035;28;;;;;2033.5;-23.23046875
1;4400;SQUID_INK;1853;28;;;;;1856;28;;;;;1854.5;-34.6796875
1;4400;RAINFOREST_RESIN;9995;28;;;;;10005;28;;;;;10000.0;20.0
1;4500;RAINFOREST_RESIN;9995;26;;;;;10005;26;;;;;10000.0;20.0
1;4500;SQUID_INK;1853;26;;;;;1854;8;1856;26;;;1853.5;-29.65625
1;4500;KELP;2032;26;;;;;2034;8;2035;26;;;2033.0;-23.40625
1;4600;RAINFOREST_RESIN;9995;21;;;;;10005;21;;;;;10000.0;20.0
1;4600;KELP;2032;21;;;;;2034;3;2035;21;;;2033.0;-23.01953125
1;4600;SQUID_INK;1857;21;;;;;1858;3;1860;21;;;1857.5;-102.83984375
1;4700;KELP;2032;26;;;;;2035;26;;;;;2033.5;-22.28125
1;4700;RAINFOREST_RESIN;9998;5;9995;26;;;10005;26;;;;;10001.5;20.0
1;4700;SQUID_INK;1855;26;;;;;1858;26;;;;;1856.5;-66.9609375
1;4800;KELP;2034;1;2032;30;;;2035;23;;;;;2034.5;-22.46484375
1;4800;SQUID_INK;1861;1;1860;7;1859;23;1863;23;;;;;1862.0;-152.58203125
1;4800;RAINFOREST_RESIN;9996;1;9995;22;;;10004;1;10005;22;;;10000.0;20.0
1;4900;RAINFOREST_RESIN;9996;2;9995;22;;;10004;2;10005;22;;;10000.0;20.0
1;4900;SQUID_INK;1857;24;;;;;1859;6;1860;2;1861;22;1858.0;-115.203125
1;4900;KELP;2032;24;;;;;2034;6;2035;24;;;2033.0;-21.91796875
1;5000;RAINFOREST_RESIN;9998;9;9996;1;9995;30;10004;1;10005;30;;;10001.0;20.0
1;5000;KELP;2032;36;;;;;2035;31;;;;;2033.5;-21.92578125
1;5000;SQUID_INK;1860;6;1859;30;;;1863;31;;;;;1861.5;-153.5
1;5100;KELP;2032;26;;;;;2035;26;;;;;2033.5;-21.9296875
1;5100;RAINFOREST_RESIN;9995;26;;;;;10005;26;;;;;10000.0;20.0
1;5100;SQUID_INK;1859;26;;;;;1862;26;;;;;1860.5;-140.5078125
1;5200;SQUID_INK;1859;11;1858;25;;;1861;25;;;;;1860.0;-132.20703125
1;5200;KELP;2033;5;2032;31;;;2035;25;;;;;2034.0;-21.9296875
1;5200;RAINFOREST_RESIN;10000;5;9998;7;9996;2;10004;2;10005;23;;;10002.0;20.0
1;5300;RAINFOREST_RESIN;9995;22;;;;;9998;12;10005;22;;;9996.5;20.0
1;5300;SQUID_INK;1857;22;;;;;1860;22;;;;;1858.5;-105.88671875
1;5300;KELP;2032;22;;;;;2035;22;;;;;2033.5;-21.7421875
1;5400;RAINFOREST_RESIN;9995;30;;;;;10005;30;;;;;10000.0;22.0
1;5400;SQUID_INK;1857;30;;;;;1860;30;;;;;1858.5;-103.51171875
1;5400;KELP;2032;30;;;;;2035;30;;;;;2033.5;-21.00390625
1;5500;KELP;2032;21;;;;;2035;29;;;;;2033.5;-22.66796875
1;5500;RAINFOREST_RESIN;9996;1;9995;28;;;10004;1;10005;28;;;10000.0;22.0
1;5500;SQUID_INK;1858;29;;;;;1859;8;1862;29;;;1858.5;-134.98828125
1;5600;SQUID_INK;1859;25;;;;;1862;25;;;;;1860.5;-141.45703125
1;5600;KELP;2032;25;;;;;2035;25;;;;;2033.5;-22.1171875
1;5600;RAINFOREST_RESIN;9998;2;9996;2;9995;23;10004;2;10005;23;;;10001.0;22.0
1;5700;RAINFOREST_RESIN;9996;1;9995;30;;;10004;1;10005;30;;;10000.0;22.0
1;5700;SQUID_INK;1859;4;1858;30;;;1862;31;;;;;1860.5;-135.57421875
1;5700;KELP;2032;34;;;;;2035;31;;;;;2033.5;-20.84765625
1;5800;RAINFOREST_RESIN;9996;2;9995;28;;;10004;2;10005;28;;;10000.0;22.0
1;5800;SQUID_INK;1858;30;;;;;1861;30;;;;;1859.5;-132.0859375
1;5800;KELP;2032;30;;;;;2035;30;;;;;2033.5;-21.40625
1;5900;KELP;2032;23;;;;;2035;23;;;;;2033.5;-21.03515625
1;5900;RAINFOREST_RESIN;9996;2;9995;21;;;10004;2;10005;21;;;10000.0;22.0
1;5900;SQUID_INK;1857;23;;;;;1860;23;;;;;1858.5;-112.8828125
1;6000;SQUID_INK;1859;30;;;;;1862;30;;;;;1860.5;-138.90234375
1;6000;KELP;2032;30;;;;;2035;30;;;;;2033.5;-19.9453125
1;6000;RAINFOREST_RESIN;9995;30;;;;;10002;10;10005;30;;;9998.5;22.0
1;6100;RAINFOREST_RESIN;9996;1;9995;24;;;10004;1;10005;24;;;10000.0;22.0
1;6100;SQUID_INK;1859;25;;;;;1862;25;;;;;1860.5;-137.84375
1;6100;KELP;2032;25;;;;;2035;25;;;;;2033.5;-23.9609375
1;6200;RAINFOREST_RESIN;9998;3;9996;1;9995;29;10004;1;10005;29;;;10001.0;22.0
1;6200;SQUID_INK;1861;1;1859;30;;;1862;30;;;;;1861.5;-145.8203125
1;6200;KELP;2034;1;2032;30;;;2035;30;;;;;2034.5;-21.765625
1;6300;KELP;2032;22;;;;;2035;22;;;;;2033.5;-21.0390625
1;6300;RAINFOREST_RESIN;9995;22;;;;;10005;22;;;;;10000.0;22.0
1;6300;SQUID_INK;1859;22;;;;;1862;22;;;;;1860.5;-147.109375
1;6400;SQUID_INK;1858;24;;;;;1862;24;;;;;1860.0;-134.90625
1;6400;KELP;2032;24;;;;;2035;24;;;;;2033.5;-21.4140625
1;6400;RAINFOREST_RESIN;9996;1;9995;23;;;10002;6;10004;1;10005;23;9999.0;22.0
1;6500;RAINFOREST_RESIN;9995;22;;;;;10005;22;;;;;10000.0;22.0
1;6500;SQUID_INK;1859;22;;;;;1862;22;;;;;1860.5;-149.73828125
1;6500;KELP;2032;22;;;;;2035;22;;;;;2033.5;-21.4140625
1;6600;RAINFOREST_RESIN;9996;2;9995;27;;;10004;2;10005;27;;;10000.0;22.0
1;6600;SQUID_INK;1860;22;;;;;1863;29;;;;;1861.5;-162.8671875
1;6600;KELP;2032;22;;;;;2035;29;;;;;2033.5;-19.4140625
1;6700;KELP;2032;31;;;;;2034;7;2035;1;2036;30;2033.0;-18.64453125
1;6700;RAINFOREST_RESIN;9996;1;9995;30;;;10004;1;10005;30;;;10000.0;22.0
1;6700;SQUID_INK;1859;31;;;;;1861;7;1862;31;;;1860.0;-147.171875
1;6800;SQUID_INK;1860;4;1859;31;;;1862;2;1863;29;;;1861.0;-151.1328125
1;6800;KELP;2033;4;2032;31;;;2035;31;;;;;2034.0;-20.109375
1;6800;RAINFOREST_RESIN;10000;5;9996;2;9995;29;10004;2;10005;29;;;10002.0;22.0
1;6900;RAINFOREST_RESIN;9996;2;9995;27;;;10004;2;10005;27;;;10000.0;22.0
1;6900;SQUID_INK;1860;29;;;;;1862;3;1863;29;;;1861.0;-159.9375
1;6900;KELP;2032;29;;;;;2034;3;2035;29;;;2033.0;-19.953125
1;7000;RAINFOREST_RESIN;9996;1;9995;30;;;10004;1;10005;30;;;10000.0;22.0
1;7000;SQUID_INK;1860;7;1859;31;;;1863;31;;;;;1861.5;-152.93359375
1;7000;KELP;2032;38;;;;;2035;31;;;;;2033.5;-19.96484375
1;7100;KELP;2032;31;;;;;2035;31;;;;;2033.5;-19.453125
1;7100;RAINFOREST_RESIN;9996;1;9995;30;;;9998;5;10002;7;10004;1;9997.0;22.0
1;7100;SQUID_INK;1860;31;;;;;1863;31;;;;;1861.5;-164.5546875
1;7200;SQUID_INK;1859;29;;;;;1862;23;;;;;1860.5;-137.6953125
1;7200;KELP;2032;29;;;;;2035;23;;;;;2033.5;-20.01171875
1;7200;RAINFOREST_RESIN;9996;1;9995;22;;;10002;1;10004;1;10005;22;9999.0;24.0
1;7300;RAINFOREST_RESIN;9996;1;9995;25;;;10004;1;10005;25;;;10000.0;24.0
1;7300;SQUID_INK;1858;26;;;;;1861;26;;;;;1859.5;-130.66015625
1;7300;KELP;2032;26;;;;;2035;26;;;;;2033.5;-19.109375
1;7400;RAINFOREST_RESIN;10002;1;9995;22;;;10005;22;;;;;10003.5;24.0
1;7400;SQUID_INK;1859;22;;;;;1862;22;;;;;1860.5;-138.8046875
1;7400;KELP;2032;22;;;;;2035;22;;;;;2033.5;-19.84375
1;7500;KELP;2032;29;;;;;2034;3;2035;29;;;2033.0;-21.109375
1;7500;RAINFOREST_RESIN;9995;29;;;;;10005;29;;;;;10000.0;26.0
1;7500;SQUID_INK;1858;29;;;;;1860;3;1862;29;;;1859.0;-133.4921875
1;7600;SQUID_INK;1859;27;;;;;1862;27;;;;;1860.5;-141.375
1;7600;KELP;2032;27;;;;;2035;27;;;;;2033.5;-20.203125
1;7600;RAINFOREST_RESIN;10002;1;9995;27;;;10005;27;;;;;10003.5;26.0
1;7700;RAINFOREST_RESIN;9996;1;9995;25;;;10002;5;10004;1;10005;25;9999.0;28.0
1;7700;SQUID_INK;1858;26;;;;;1861;1;1862;25;;;1859.5;-133.6015625
1;7700;KELP;2032;26;;;;;2035;26;;;;;2033.5;-20.20703125
1;7800;RAINFOREST_RESIN;9995;23;;;;;10005;23;;;;;10000.0;28.0
1;7800;SQUID_INK;1859;1;1858;23;;;1861;23;;;;;1860.0;-132.74609375
1;7800;KELP;2032;24;;;;;2035;23;;;;;2033.5;-19.859375
1;7900;KELP;2032;24;;;;;2035;24;;;;;2033.5;-20.58203125
1;7900;RAINFOREST_RESIN;9996;2;9995;22;;;10002;7;10004;2;10005;22;9999.0;28.0
1;7900;SQUID_INK;1858;2;1857;22;;;1861;24;;;;;1859.5;-117.5234375
1;8000;SQUID_INK;1858;1;1857;3;1856;30;1859;30;;;;;1858.5;-85.1640625
1;8000;KELP;2034;1;2033;3;2032;30;2035;30;;;;;2034.5;-19.78515625
1;8000;RAINFOREST_RESIN;10000;3;9996;2;9995;28;10004;2;10005;28;;;10002.0;28.0
1;8100;SQUID_INK;1858;25;;;;;1861;25;;;;;1859.5;-123.2890625
1;8100;KELP;2032;25;;;;;2035;25;;;;;2033.5;-22.55078125
1;8100;RAINFOREST_RESIN;9995;25;;;;;10005;25;;;;;10000.0;28.0
1;8200;SQUID_INK;1857;27;;;;;1860;27;;;;;1858.5;-113.66796875
1;8200;RAINFOREST_RESIN;9996;2;9995;25;;;10004;2;10005;25;;;10000.0;28.0
1;8200;KELP;2032;27;;;;;2035;27;;;;;2033.5;-22.7265625
1;8300;KELP;2032;28;;;;;2035;28;;;;;2033.5;-21.265625
1;8300;RAINFOREST_RESIN;9998;9;9995;28;;;10005;28;;;;;10001.5;28.0
1;8300;SQUID_INK;1857;28;;;;;1860;28;;;;;1858.5;-101.703125
1;8400;SQUID_INK;1857;29;;;;;1860;29;;;;;1858.5;-101.296875
1;8400;RAINFOREST_RESIN;9998;5;9995;29;;;10005;29;;;;;10001.5;28.0
1;8400;KELP;2032;29;;;;;2035;29;;;;;2033.5;-19.45703125
1;8500;SQUID_INK;1858;35;;;;;1861;27;;;;;1859.5;-119.5546875
1;8500;KELP;2032;35;;;;;2035;27;;;;;2033.5;-19.10546875
1;8500;RAINFOREST_RESIN;9996;2;9995;25;;;10004;2;10005;25;;;10000.0;28.0
1;8600;SQUID_INK;1857;29;;;;;1860;29;;;;;1858.5;-113.07421875
1;8600;RAINFOREST_RESIN;9996;2;9995;27;;;10004;2;10005;27;;;10000.0;28.0
1;8600;KELP;2032;29;;;;;2035;29;;;;;2033.5;-19.28125
1;8700;KELP;2034;1;2032;32;;;2035;24;;;;;2034.5;-19.28125
1;8700;SQUID_INK;1858;1;1857;8;1856;24;1859;2;1860;22;;;1858.5;-98.4921875
1;8700;RAINFOREST_RESIN;9996;2;9995;22;;;10004;2;10005;22;;;10000.0;28.0
1;8800;RAINFOREST_RESIN;9996;1;9995;30;;;10004;1;10005;30;;;10000.0;28.0
1;8800;KELP;2032;31;;;;;2035;1;2036;30;;;2033.5;-18.1796875
1;8800;SQUID_INK;1857;31;;;;;1860;31;;;;;1858.5;-108.03515625
1;8900;KELP;2032;28;;;;;2036;26;;;;;2034.0;-18.3671875
1;8900;SQUID_INK;1856;28;;;;;1859;26;;;;;1857.5;-92.46875
1;8900;RAINFOREST_RESIN;9995;26;;;;;10005;26;;;;;10000.0;28.0
1;9000;SQUID_INK;1856;23;;;;;1859;23;;;;;1857.5;-95.29296875
1;9000;RAINFOREST_RESIN;9995;23;;;;;10005;23;;;;;10000.0;28.0
1;9000;KELP;2032;23;;;;;2036;23;;;;;2034.0;-17.9921875
1;9100;KELP;2033;5;2032;22;;;2036;22;;;;;2034.5;-16.9375
1;9100;SQUID_INK;1855;27;;;;;1858;22;;;;;1856.5;-71.7734375
1;9100;RAINFOREST_RESIN;9995;22;;;;;9998;1;10005;22;;;9996.5;28.0
1;9200;RAINFOREST_RESIN;9996;2;9995;25;;;10004;2;10005;25;;;10000.0;30.0
1;9200;KELP;2033;3;2032;27;;;2036;27;;;;;2034.5;-17.078125
1;9200;SQUID_INK;1855;30;;;;;1858;27;;;;;1856.5;-75.22265625
1;9300;KELP;2032;30;;;;;2036;30;;;;;2034.0;-15.44921875
1;9300;SQUID_INK;1854;30;;;;;1857;30;;;;;1855.5;-53.3671875
1;9300;RAINFOREST_RESIN;10002;11;9998;1;9996;1;10004;1;10005;29;;;10003.0;30.0
1;9400;SQUID_INK;1855;33;;;;;1858;30;;;;;1856.5;-70.1484375
1;9400;RAINFOREST_RESIN;10002;1;9996;2;9995;28;10004;2;10005;28;;;10003.0;32.0
1;9400;KELP;2033;3;2032;30;;;2036;30;;;;;2034.5;-15.2734375
1;9500;KELP;2032;26;;;;;2036;26;;;;;2034.0;-15.1328125
1;9500;SQUID_INK;1853;26;;;;;1856;26;;;;;1854.5;-38.52734375
1;9500;RAINFOREST_RESIN;10002;1;9996;2;9995;24;10004;2;10005;24;;;10003.0;34.0
1;9600;RAINFOREST_RESIN;9996;1;9995;20;;;10002;6;10004;1;10005;20;9999.0;36.0
1;9600;KELP;2032;21;;;;;2036;21;;;;;2034.0;-16.03515625
1;9600;SQUID_INK;1855;21;;;;;1858;21;;;;;1856.5;-70.4609375
1;9700;SQUID_INK;1855;31;;;;;1856;5;1857;5;1858;31;1855.5;-73.91015625
1;9700;KELP;2032;31;;;;;2034;10;2036;31;;;2033.0;-14.234375
1;9700;RAINFOREST_RESIN;9996;1;9995;30;;;10000;4;10004;1;10005;30;9998.0;36.0
1;9800;SQUID_INK;1855;26;;;;;1858;26;;;;;1856.5;-73.81640625
1;9800;RAINFOREST_RESIN;9998;1;9996;2;9995;24;10004;2;10005;24;;;10001.0;36.0
1;9800;KELP;2032;26;;;;;2036;26;;;;;2034.0;-14.80078125
1;9900;SQUID_INK;1858;24;;;;;1861;24;;;;;1859.5;-129.17578125
1;9900;KELP;2032;24;;;;;2036;24;;;;;2034.0;-13.859375
1;9900;RAINFOREST_RESIN;9995;24;;;;;10005;24;;;;;10000.0;36.0
1;10000;RAINFOREST_RESIN;9995;27;;;;;10005;27;;;;;10000.0;36.0
1;10000;KELP;2032;27;;;;;2036;27;;;;;2034.0;-11.28125
1;10000;SQUID_INK;1856;27;;;;;1859;27;;;;;1857.5;-94.45703125
1;10100;SQUID_INK;1857;21;;;;;1859;5;1860;21;;;1858.0;-111.1953125
1;10100;KELP;2033;21;;;;;2035;5;2036;21;;;2034.0;-9.9609375
1;10100;RAINFOREST_RESIN;10002;4;9996;1;9995;20;10004;1;10005;20;;;10003.0;36.0
1;10200;SQUID_INK;1857;20;;;;;1860;20;;;;;1858.5;-113.140625
1;10200;RAINFOREST_RESIN;9995;20;;;;;10005;20;;;;;10000.0;38.0
1;10200;KELP;2033;20;;;;;2036;20;;;;;2034.5;-10.984375
1;10300;SQUID_INK;1858;30;;;;;1861;25;;;;;1859.5;-120.62890625
1;10300;KELP;2033;30;;;;;2036;25;;;;;2034.5;-10.26953125
